ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _brand,Meta: _eur_price_piece,Meta: _eur_price_box,Meta: _lei_price_piece,Meta: _lei_price_box,Meta: _pieces_per_box,Meta: _vat_rate,Meta: _margin_percent,Meta: _mix_order,Meta: _min_order_qty,Meta: _zentrada_url,Meta: _country_of_origin,Meta: _ean
,simple,EE-CG-100001,Calendar de Advent Chupalicious,1,0,visible,"Calendar de Advent cu 24 surprize.
Include balsamuri, lacuri de unghii și accesorii.
Ideal pentru fanii Chupa Chups.
Perfect pentru numărătoarea inversă până la Crăciun.","**Descoperă Surprize Zilnice**
Pregătește-te pentru sărbători cu acest calendar de Advent Chupalicious, plin cu 24 de surprize cosmetice și accesorii. Fiecare zi aduce o nouă bucurie, transformând așteptarea Crăciunului într-o experiență magică și stilată. Perfect pentru fanii Chupa Chups și pentru oricine iubește produsele de înfrumusețare.

**Colecție Variată de Produse**
Calendarul include o gamă diversificată de articole, de la balsamuri de buze și lacuri de unghii, până la luciu de buze, agrafe de păr și accesorii precum o oglindă și un breloc. Este o modalitate excelentă de a experimenta produse noi și de a-ți completa colecția de frumusețe cu un strop de distracție.",,,taxable,,1,,,0,0,,,,,1,,,85.04,Casă & Grădină,"CHUPA CHUPS, B2B",,"https://evdo8pe.cloudimg.io/v7/https://zaap.ovh/images/00111296.jpg?w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/s/resizeinbox/130x130/https://images.zentrada-network.eu/kundendaten/00/24/26/39/images/logo_Jactal_fr.png, https://evdo8pe.cloudimg.io/v7/https://zaap.ovh/images/00143710.jpg?w=130&h=130&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://zaap.ovh/images/00143709.jpg?w=130&h=130&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://zaap.ovh/images/00154571.jpg?w=130&h=130&func=bound&force_format=webp",,,,,,,,,0,Cantitate,"1 Bucată, 1 Cutie (10 buc)",1,0,CHUPA CHUPS,10.95,109.5,78.49716,784.95732,10,19,30,yes,1,https://www.zentrada.com/eu/shop/wholesale/article/3E2855C9A102735170BA5C8E0EE00E87/Chupalicious-Advent-Calendar,,4.06E+12
,simple,EE-CG-100002,Lumânare parfumată Haribo 85g Căpșuni,1,0,visible,"Lumânare parfumată cu aromă de căpșuni.
Greutate 85g, ceară roșie.
Vine ambalată în cutie cadou.
Ideală pentru decor și cadouri.","**Aromă Dulce de Căpșuni**
Transformă-ți spațiul într-un loc plin de bucurie cu lumânarea parfumată Haribo, cu aroma irezistibilă de căpșuni. Această lumânare de 85g, prezentată într-o cutie cadou elegantă, aduce o notă veselă și dulce oricărei încăperi. Ceara roșie vibrantă completează perfect parfumul fructat, creând o atmosferă caldă și primitoare.

**Cadoul Perfect pentru Orice Ocazie**
Ideală pentru a crea o ambianță relaxantă sau pentru a fi oferită cadou, lumânarea Haribo Strawberry Happiness este o alegere excelentă. Face parte din categoria articolelor decorative și este un mod minunat de a aduce un zâmbet pe chipul celor dragi. Adaugă o pată de culoare și un parfum delicios în casa ta sau alege-o pentru un cadou memorabil.",,,taxable,,1,,,0,0,,,,,1,,,13.05,Casă & Grădină,"Haribo, B2B",,"https://evdo8pe.cloudimg.io/width/200/n/https://images.zentrada-network.eu/images/zentrada/brands/Haribo-Logo-NEU_9xozbw6t88k8.png?force_format=webp&q=90, https://evdo8pe.cloudimg.io/v7/https://osma-werm.com/media/a8/86/96/1707921828/13648.jpg?ts=1726587278&w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://osma-werm.com/media/a8/86/96/1707921828/13648.jpg?ts=1726587278&w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://osma-werm.com/media/d2/ef/54/1743506035/13648-99.jpg?ts=1743506035&w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/s/resizeinbox/130x130/https://images.zentrada-network.eu/kundendaten/00/34/30/92/images/salesroom.jpg",,,,,,,,,0,Cantitate,"1 Bucată, 1 Cutie (6 buc)",1,0,Haribo,1.68,10.08,12.03804,72.2568,6,19,30,yes,1,https://www.zentrada.com/eu/shop/wholesale/article/360B88BBCF9AC65F48E2F00814DE5454/Scented-candle-Haribo-85g-Strawberry-Happiness,DE,4.26E+12
,simple,EE-CG-100003,Lumânare parfumată Haribo 85g Cherry Cola,1,0,visible,"Lumânare parfumată cu aromă de Cherry Cola.
Greutate 85g, ceară roșu închis.
Ambalată elegant în cutie cadou.
Ideală pentru decor și cadouri tematice.","**Aromă Unică Cherry Cola**
Bucură-te de o experiență olfactivă inedită cu lumânarea parfumată Haribo, ce îmbină aroma clasică de cola cu dulceața cireșelor. Această lumânare de 85g, prezentată într-o cutie cadou, aduce o notă jucăușă și sofisticată oricărei încăperi. Ceara de culoare roșu închis completează perfect parfumul intrigant.

**Element Decorativ Versatil**
Perfectă pentru a crea o atmosferă relaxantă sau pentru a fi oferită cadou, lumânarea Haribo Cherry Cola este o alegere excelentă. Face parte din categoria articolelor decorative și este un mod original de a aduce personalitate casei tale. Adaugă o pată de culoare și un parfum distinctiv în locuința ta sau alege-o pentru un cadou memorabil și neconvențional.",,,taxable,,1,,,0,0,,,,,1,,,13.05,Casă & Grădină,"Haribo, B2B",,"https://evdo8pe.cloudimg.io/width/200/n/https://images.zentrada-network.eu/images/zentrada/brands/Haribo-Logo-NEU_9xozbw6t88k8.png?force_format=webp&q=90, https://evdo8pe.cloudimg.io/v7/https://osma-werm.com/media/04/e9/a6/1707921722/13646.jpg?ts=1726587181&w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://osma-werm.com/media/04/e9/a6/1707921722/13646.jpg?ts=1726587181&w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://osma-werm.com/media/2a/4d/c7/1743506076/13646-99.jpg?ts=1743506076&w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/s/resizeinbox/130x130/https://images.zentrada-network.eu/kundendaten/00/34/30/92/images/salesroom.jpg",,,,,,,,,0,Cantitate,"1 Bucată, 1 Cutie (6 buc)",1,0,Haribo,1.68,10.08,12.03804,72.2568,6,19,30,yes,1,https://www.zentrada.com/eu/shop/wholesale/article/5FF9743BE1BDC3D22286101B6E6AE0B6/Scented-candle-Haribo-85g-Cherry-Cola,DE,4.26E+12
,simple,EE-CG-100004,Lumânare parfumată Haribo 85g Nucă de Cocos și Lămâie,1,0,visible,"Lumânare parfumată cu nucă de cocos și lămâie.
Greutate 85g, ceară galbenă.
Ambalată în cutie cadou.
Ideală pentru o atmosferă tropicală.","**Aromă Exotică de Nucă de Cocos și Lămâie**
Creează o atmosferă tropicală în casa ta cu lumânarea parfumată Haribo, ce te va transporta instantaneu pe o plajă însorită. Cu o greutate de 85g și ambalată într-o cutie cadou, această lumânare îmbină prospețimea lămâii cu dulceața exotică a nucii de cocos. Ceara galbenă vibrantă adaugă o notă de optimism și lumină.

**Accent Decorativ și Aromatic**
Perfectă pentru a aduce o notă de vacanță în orice încăpere sau pentru a fi oferită cadou, lumânarea Haribo Coconut Lime este o alegere inspirată. Fiind un articol decorativ, contribuie la crearea unei ambianțe plăcute și relaxante. Alege-o pentru a-ți înviora simțurile sau pentru a oferi un cadou memorabil care evocă zilele calde de vară.",,,taxable,,1,,,0,0,,,,,1,,,13.05,Casă & Grădină,"Haribo, B2B",,"https://evdo8pe.cloudimg.io/width/200/n/https://images.zentrada-network.eu/images/zentrada/brands/Haribo-Logo-NEU_9xozbw6t88k8.png?force_format=webp&q=90, https://evdo8pe.cloudimg.io/v7/https://osma-werm.com/media/20/82/e4/1707922203/13650.jpg?ts=1726587618&w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://osma-werm.com/media/20/82/e4/1707922203/13650.jpg?ts=1726587618&w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://osma-werm.com/media/54/94/ef/1743506035/13650-99.jpg?ts=1743506035&w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/s/resizeinbox/130x130/https://images.zentrada-network.eu/kundendaten/00/34/30/92/images/salesroom.jpg",,,,,,,,,0,Cantitate,"1 Bucată, 1 Cutie (6 buc)",1,0,Haribo,1.68,10.08,12.03804,72.2568,6,19,30,yes,1,https://www.zentrada.com/eu/shop/wholesale/article/DD02B2AAE28BAB4B1597EC2E8A8B12AB/Scented-candle-Haribo-85g-Coconut-Lime,DE,4.26E+12
,simple,EE-CG-100005,Lumânare parfumată cristal măr și scorțișoară,1,0,visible,"Lumânare parfumată cu măr și scorțișoară.
Design din cristal, culoare granat.
Durată de ardere aproximativ 20 ore.
Ambalată în cutie cadou cu fereastră.
Dimensiuni: 7,4x7,4x6,3 cm.","**Aromă Clasică de Măr și Scorțișoară**
Creează o atmosferă caldă și primitoare cu lumânarea parfumată din cristal, ce îmbină armonios aromele de măr și scorțișoară. Această lumânare elegantă, cu o durată de ardere de 20 de ore, este perfectă pentru a aduce confortul și căldura casei în orice sezon. Designul său rafinat, cu o nuanță granat, o face un obiect decorativ deosebit.

**Detalii și Ambalaj Premium**
Fabricată din sticlă și ceară de înaltă calitate, lumânarea măsoară 7,4x7,4x6,3cm și vine ambalată într-o cutie cadou cu fereastră, gata de a fi oferită. Este ideală pentru a decora orice încăpere sau pentru a fi un cadou apreciat. Adaugă o notă de eleganță și un parfum reconfortant în locuința ta cu această lumânare sofisticată.",,,taxable,,1,,,0,0,,,,,1,,,7.22,Casă & Grădină,"ACORDE, B2B",,"https://evdo8pe.cloudimg.io/width/200/n/https://images.zentrada-network.eu/images/zentrada/brands/Acorde_Logo_frg.png?force_format=webp&q=90, https://evdo8pe.cloudimg.io/v7/https://V1.arteregal.com/images/productos/13573.jpg?w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://V1.arteregal.com/images/productos/13573_2.jpg?w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://V1.arteregal.com/images/productos/13573.jpg?w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://V1.arteregal.com/images/productos/13573_1.jpg?w=600&h=600&func=bound&force_format=webp",,,,,,,,,0,Cantitate,"1 Bucată, 1 Cutie (12 buc)",1,0,ACORDE,0.93,11.16,6.66876,79.99656,12,19,30,yes,1,https://www.zentrada.com/eu/shop/wholesale/article/FBD573682E9B41DA449CC9F67EFCD9F7/apple-and-cinnamon-crystal-scented-candle,India,8.43E+12
,simple,EE-CG-100006,Lumânare parfumată Haribo 85g Distracție Tropicală,1,0,visible,"Lumânare parfumată cu aromă tropicală.
Greutate 85g, ceară galbenă.
Ambalată elegant în cutie cadou.
Ideală pentru decor și cadouri.","**Aromă Exotică și Vibrantă**
Adu atmosfera unei vacanțe tropicale în casa ta cu lumânarea parfumată Haribo ""Tropical Fun"". Această lumânare de 85g, prezentată într-o cutie cadou, emană o aromă vibrantă și plină de energie, perfectă pentru a-ți înviora simțurile. Ceara galbenă, luminoasă, completează perfect parfumul exotic, aducând o pată de culoare și optimism.

**Decor Modern și Cadou Vesel**
Ideală pentru a crea o ambianță relaxantă și plină de prospețime sau pentru a fi oferită cadou, lumânarea Haribo Tropical Fun este o alegere excelentă. Face parte din categoria articolelor decorative și este un mod minunat de a aduce un zâmbet și o notă de originalitate în orice spațiu. Alege-o pentru a-ți transforma locuința într-un refugiu tropical.",,,taxable,,1,,,0,0,,,,,1,,,13.05,Casă & Grădină,"Haribo, B2B",,"https://evdo8pe.cloudimg.io/width/200/n/https://images.zentrada-network.eu/images/zentrada/brands/Haribo-Logo-NEU_9xozbw6t88k8.png?force_format=webp&q=90, https://evdo8pe.cloudimg.io/v7/https://osma-werm.com/media/8b/36/f4/1707922330/13649.jpg?ts=1726587738&w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://osma-werm.com/media/8b/36/f4/1707922330/13649.jpg?ts=1726587738&w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://osma-werm.com/media/c0/d0/10/1744190113/13649-99.jpg?ts=1744711989&w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/s/resizeinbox/130x130/https://images.zentrada-network.eu/kundendaten/00/34/30/92/images/salesroom.jpg",,,,,,,,,0,Cantitate,"1 Bucată, 1 Cutie (6 buc)",1,0,Haribo,1.68,10.08,12.03804,72.2568,6,19,30,yes,1,https://www.zentrada.com/eu/shop/wholesale/article/6A9BEB51098C13475905C9FB912174F8/Scented-candle-Haribo-85g-Tropical-Fun,DE,4.26E+12
,simple,EE-CG-100007,Lumânare parfumată Haribo 85g Mix de Fructe de Pădure,1,0,visible,"Lumânare parfumată cu mix de fructe de pădure.
Greutate 85g, ceară violet.
Ambalată în cutie cadou.
Ideală pentru decor și cadouri.","**Aromă Delicioasă de Fructe de Pădure**
Împrospătează-ți locuința cu lumânarea parfumată Haribo, ce aduce prospețimea și dulceața unui mix de fructe de pădure. Această lumânare de 85g, prezentată într-o cutie cadou elegantă, este perfectă pentru a crea o atmosferă plină de vitalitate și confort. Ceara de culoare violet, vibrantă, completează perfect parfumul fructat.

**O Alegere Perfectă pentru Cadou**
Ideală pentru a crea o ambianță relaxantă sau pentru a fi oferită cadou, lumânarea Haribo Berry Mix este o alegere excelentă. Face parte din categoria articolelor decorative și este un mod minunat de a aduce un zâmbet pe chipul celor dragi. Adaugă o pată de culoare și un parfum delicios în casa ta sau alege-o pentru un cadou memorabil și aromatic.",,,taxable,,1,,,0,0,,,,,1,,,13.05,Casă & Grădină,"Haribo, B2B",,"https://evdo8pe.cloudimg.io/width/200/n/https://images.zentrada-network.eu/images/zentrada/brands/Haribo-Logo-NEU_9xozbw6t88k8.png?force_format=webp&q=90, https://evdo8pe.cloudimg.io/v7/https://osma-werm.com/media/b3/42/51/1707922304/13647.jpg?ts=1726587713&w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://osma-werm.com/media/b3/42/51/1707922304/13647.jpg?ts=1726587713&w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://osma-werm.com/media/c7/c1/90/1743506024/13647-99.jpg?ts=1743506024&w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/s/resizeinbox/130x130/https://images.zentrada-network.eu/kundendaten/00/34/30/92/images/salesroom.jpg",,,,,,,,,0,Cantitate,"1 Bucată, 1 Cutie (6 buc)",1,0,Haribo,1.68,10.08,12.03804,72.2568,6,19,30,yes,1,https://www.zentrada.com/eu/shop/wholesale/article/3F3659F55ED8CC20C9692F6679F02CCE/Scented-candle-Haribo-85g-Berry-Mix,DE,4.26E+12
,simple,EE-CG-100008,"Bilă de Crăciun 30mm x18, auriu",1,0,visible,"Set de 18 bile de Crăciun.
Diametru 30 mm.
Material plastic rezistent.
Culori aurii, roșu și șampanie.
Ideal pentru decorul festiv.","**Decor Festiv Elegant**
Acest set de 18 bile de Crăciun, cu un diametru de 30 mm, aduce o notă de eleganță bradului dumneavoastră. Realizate din plastic durabil, sunt ideale pentru a crea o atmosferă caldă și primitoare în locuința dumneavoastră pe durata sărbătorilor.

**Detalii Produs**
Bilele sunt ambalate individual și vin într-o combinație de culori roșu și șampanie, perfecte pentru diverse teme de decor. Dimensiunile compacte le fac ușor de integrat în orice aranjament.",,,taxable,,1,,,0,0,,,,,1,,,11.11,Casă & Grădină,"Fééric Lights and Christmas®, B2B",,"https://evdo8pe.cloudimg.io/v7/https://media.jja-sa.com/129219RO/c61e74f1-3689-4321-9178-6b96c13143d5.jpg?w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/s/resizeinbox/130x130/https://images.zentrada-network.eu/kundendaten/00/76/75/95/images/logo_JJA-XMAS_fr.png, https://evdo8pe.cloudimg.io/width/200/n/https://images.zentrada-network.eu/images/zentrada/brands/Fééric Lights and Christmas.png?force_format=webp&q=90, https://evdo8pe.cloudimg.io/v7/https://media.jja-sa.com/129248ND/68c19e1f-c9a6-4cf3-a616-2828d2ac184c.jpg?w=130&h=130&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://media.jja-sa.com/129248OR/ec01cbb0-4b66-4339-bca2-ea2502560403.jpg?w=130&h=130&func=bound&force_format=webp",,,,,,,,,0,Cantitate,"1 Bucată, 1 Cutie (20 buc)",1,0,Fééric Lights and Christmas®,1.43,28.6,10.25304,205.01796,20,19,30,yes,1,https://www.zentrada.com/eu/shop/wholesale/article/7167324B69C78B5EF50668CF34508BBA/christmas-ball-30mm-x18-golden-rge,CHINE,3.56E+12
,simple,EE-CG-100009,"Odorizant de cameră 18ml, scorțișoară",1,0,visible,"Odorizant de cameră 18ml.
Aromă intensă de scorțișoară.
Dimensiuni compacte.
Creează o atmosferă primitoare.
Ideal pentru orice încăpere.","**Aromă Caldă de Scorțișoară**
Acest odorizant de cameră de 18ml infuzează spațiul cu o aromă bogată și reconfortantă de scorțișoară. Perfect pentru a crea o atmosferă primitoare și plăcută în orice încăpere, de la living la birou.

**Design Compact și Eficient**
Cu dimensiunile sale compacte de 6x5.5x12cm, se integrează discret în decorul oricărei încăperi. Face parte din gama de produse pentru parfumuri și lumânări, aducând prospețime și confort.",,,taxable,,1,,,0,0,,,,,1,,,5.36,Casă & Grădină,"ACORDE, B2B",,"https://evdo8pe.cloudimg.io/width/200/n/https://images.zentrada-network.eu/images/zentrada/brands/Acorde_Logo_frg.png?force_format=webp&q=90, https://evdo8pe.cloudimg.io/v7/https://V1.arteregal.com/images/productos/21041.jpg?w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/s/resizeinbox/130x130/https://images.zentrada-network.eu/kundendaten/00/80/83/53/images/salesroom.jpg, https://evdo8pe.cloudimg.io/width/200/n/https://images.zentrada-network.eu/images/zentrada/brands/Acorde_Logo_frg.png?force_format=webp&q=90, https://evdo8pe.cloudimg.io/v7/https://V1.arteregal.com/images/productos/28970.jpg?w=130&h=130&func=bound&force_format=webp",,,,,,,,,0,Cantitate,"1 Bucată, 1 Cutie (12 buc)",1,0,ACORDE,0.69,8.28,4.94088,59.36196,12,19,30,yes,1,https://www.zentrada.com/eu/shop/wholesale/article/594CF0B22969284E9B0B698E3820701C/air-freshener-18ml-cinnamon,España,8.43E+12
,simple,EE-CG-100010,"Perdea lumini 300 LED, alb rece, telecomandă, 3m",1,0,visible,"300 LED-uri cu lumină alb rece.
Lungime secțiune iluminată: 3m.
Control prin telecomandă.
Alimentare USB 5V sau adaptor.
Ideală pentru decor interior.","**Iluminare Festivă Modernă**
Această perdea luminoasă cu 300 de LED-uri, de culoare alb rece, este perfectă pentru a decora ferestrele sau pereții interiori. Cu o lungime de 3 metri, creează o atmosferă magică și festivă, ideală pentru sărbători sau evenimente speciale.

**Funcționalitate și Confort**
Controlul se face ușor cu ajutorul telecomenzii incluse, permițându-vă să ajustați setările. Diodele economice asigură un consum redus de energie, iar alimentarea prin USB 5V sau adaptor de rețea oferă flexibilitate în utilizare.",,,taxable,,1,,,0,0,,,,,1,,,41.31,Casă & Grădină,"Verk Group, B2B",,"https://evdo8pe.cloudimg.io/v7/https://verk.store/hpeciai/a8e27a810f33b16fa25870defddd2e38/6618_1.jpg?w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://verk.store/hpeciai/a8e27a810f33b16fa25870defddd2e38/6618_1.jpg?w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://verk.store/hpeciai/3999483e1cbc2c7fb3e644bb677b7253/6618_2.jpg?w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://verk.store/hpeciai/e6c4027aae494123dc354cffa78723d2/6618_6.jpg?w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://verk.store/hpeciai/a8e27a810f33b16fa25870defddd2e38/6618_1.jpg?w=600&h=600&func=bound&force_format=webp",,,,,,,,,0,Cantitate,"1 Bucată, 1 Cutie (1 buc)",1,0,Verk Group,5.32,5.32,38.14188,38.14188,1,19,30,yes,1,https://www.zentrada.com/eu/shop/wholesale/article/D4E3BD275C42D994187C72399960BFDF/Light-curtain-300-led-cold-color-remote-control-3m,Chiny,5.91E+12
